asset_id;name;latitude;longitude;country;production;firm
M2658;Parbelia Coal Mine;23,677978;86,826699;India;0,043;Coal India Ltd [100.0%]
M2665;Tikak Colliery;27,283288;95,733648;India;0,07;Coal India Ltd [100.0%]
M2666;Piparia Coal Mine;23,508797;80,867107;India;0,11;Coal India Ltd [100.0%]
M2667;Patansaongi Coal Mine;21,32306943;79,04498757;India;0,0386;Coal India Ltd [100.0%]
M2668;Central Kajora Coal Mine;23,600612;87,187419;India;0,071;Coal India Ltd [100.0%]
M2669;Satgram Coal Mine;23,6827;87,0703;India;0,022;Coal India Ltd [100.0%]
M2670;Lower Kenda Coal Mine;23,650379;87,183894;India;0,07;Coal India Ltd [100.0%]
M2671;Khandra Coal Mine;23,641359;87,222658;India;0,135;Coal India Ltd [100.0%]
M2687;Kumda 7&8 Coal Mine;23,2074;83,0056;India;0,02;Coal India Ltd [100.0%]
M2692;Manoerboni & South Samlaamalgateo Coal Mine;23,7112;87,314;India;0,099;Coal India Ltd [100.0%]
M2695;Nandira Coal Mine;20,92738;85,124509;India;0,06;Coal India Ltd [100.0%]
M2697;Jagannathpur Coal Mine;23,3704;83,215;India;3,91;Coal India Ltd [100.0%]
M2698;Kumardihi A Coal Mine;23,682205;87,276089;India;0,135;Coal India Ltd [100.0%]
M2699;Kalidaspur Coal Mine;23,650069;87,071513;India;0,06;Coal India Ltd [100.0%]
M2701;Siduli Coal Mine;23,649929;87,2091;India;0,078;Coal India Ltd [100.0%]
M2707;Dhori- Khas Coal Mine;23,781699;86,013284;India;0,1;Coal India Ltd [100.0%]
M2708;Ballarpur UG Coal Mine;19,84253529;79,34803771;India;0,12;Coal India Ltd [100.0%]
M2709;Mahadevpuri Coal Mine;22,1806;78,7698;India;0,13;Coal India Ltd [100.0%]
M2717;Gidi - A Open Cast Coal Mine;23,691251;85,359806;India;0,23;Coal India Ltd [100.0%]
M2718;Sasti UG Coal Mine;19,81736786;79,3363936;India;0,04;Coal India Ltd [100.0%]
M2719;Kunustoria Coal Mine;23,649796;87,13004;India;0,079;Coal India Ltd [100.0%]
M2723;Silewara Colliery;21,2990357;79,12341847;India;0,069;Coal India Ltd [100.0%]
M2727;Kathara Coal Mine;23,775944;85,911907;India;0,29;Coal India Ltd [100.0%]
M2728;JK Nagar Coal Mine;23,650069;87,071513;India;0,171;Coal India Ltd [100.0%]
M2729;Giridih Coal Mine;24,1734;86,2539;India;0,3;Coal India Ltd [100.0%]
M2739;Chora UG Coal Mine;23,672877;87,203167;India;0,04;Coal India Ltd [100.0%]
M2743;KK 5 Inc Coal Mine;18,8278;79,4833;India;0,197;The Singareni Collieries Co Ltd [100%]
M2746;Tilaboni Coal Mine;23,661247;87,275026;India;0,186;Coal India Ltd [100.0%]
M2749;New Kenda Coal Mine;23,6657;87,1624;India;0,097;Coal India Ltd [100.0%]
M2750;Bartunga Hill Coal Mine;23,174;82,335;India;0,02;Coal India Ltd [100.0%]
